27324885; Saving account; Make a transfer; 1000.0; 2024.0; Ashkan Amiri;2020-12-17 14:20:52
17307956; Saving account; Make a transfer; 1000.0; 2016.0; Ashkan Amiri;2020-12-17 14:20:52
27324885; Saving account; Make a deposit; 50000.0; 52024.0; ;2020-12-17 14:21:05
17345888; Saving account; Make a transfer; 10000.0; 15606.0; Elon Musk;2020-12-17 14:21:28
27324885; Saving account; Make a transfer; 10000.0; 42024.0; Elon Musk;2020-12-17 14:21:28
27324885; Saving account; Make a transfer; 2000.0; 40024.0; Ashkan Amiri;2020-12-17 15:21:55
17307956; Saving account; Make a transfer; 2000.0; 4016.0; Ashkan Amiri;2020-12-17 15:21:55
27324885; Saving account; Make a deposit; 2000.0; 42024.0; ;2020-12-17 16:20:34
27391472; Saving account; Make a transfer; 10000.0; 10052.0; Salem Kol;2020-12-17 16:21:21
27324885; Saving account; Make a transfer; 10000.0; 32024.0; Salem Kol;2020-12-17 16:21:21
27391472; Saving account; Make a transfer; 1000.0; 1052.0; Salem Kol;2020-12-17 20:48:44
27324885; Saving account; Make a transfer; 1000.0; 41024.0; Salem Kol;2020-12-17 20:48:44
37303747; Credit account; Withdraw; 10000.0; 20000.0; ;2020-12-25 20:56:49
17338474; Saving account; Make a deposit; 3000.0; 3077.0; ;2020-12-25 20:59:03
17338474; Saving account; Withdraw; 200.0; 2877.0; ;2020-12-25 20:59:11
37309434; Credit account; Make a transfer; 1000.0; 51000.0; Ashkan Amiri;2020-12-25 20:59:40
17338474; Saving account; Make a transfer; 1000.0; 1877.0; Ashkan Amiri;2020-12-25 20:59:40
